,ap0,ap1,ap2,ap3,ap4,result_x,result_y
0,-71.7028124701,-64.6905188336,-81.6523325332,-103.421143945,-83.0839804702,0,0
1,-70.479238964,-64.6014874419,-81.6544189048,-103.432685534,-78.6864001893,0,2
2,-69.0547779884,-64.6301582135,-81.6397165122,-103.418280288,-75.7325932246,0,4
3,-67.3502809495,-64.7673035003,-81.6047554977,-103.377584034,-77.5595753556,0,6
4,-59.7690500845,-65.2283114501,-84.029241724,-106.307000225,-80.8043086431,0,8
5,-57.0077161574,-68.0184498804,-76.7894802048,-93.4203739831,-81.5692966833,0,10
6,-52.9853962468,-64.2686307885,-78.5483918913,-92.3667421719,-94.4972116964,0,12
7,-41.8461267592,-69.055836904,-76.2205446987,-88.9025442077,-89.1066433134,0,14
8,-40.4577794648,-66.6902507521,-76.7733720634,-89.5517002396,-89.1092774018,0,16
9,-46.7438055986,-67.7006856256,-79.1647029355,-97.2235677024,-89.0862832258,0,18
10,-71.7033408149,-62.7459415357,-80.7116179459,-102.917440176,-87.5218688958,2,0
11,-70.4799163389,-62.6087508982,-80.7142163443,-102.930403775,-82.2374209863,2,2
12,-69.0556674993,-62.6536578763,-80.6957759344,-102.914225319,-80.1132502838,2,4
13,-67.351473588,-62.8595061284,-80.6511025282,-102.868484756,-75.2295643836,2,6
14,-59.7792180287,-65.8172130663,-77.6154737973,-99.8734514161,-74.5318457631,2,8
15,-57.0259571174,-62.2347019964,-77.566947442,-92.6045869412,-80.5992536699,2,10
16,-53.025216819,-63.6125465026,-72.6065786213,-91.6507567027,-87.8451774703,2,12
17,-42.1656649201,-65.193979262,-75.6767258928,-93.5889382024,-88.3622228503,2,14
18,-40.8918383357,-70.5269971795,-78.190778047,-91.6812590665,-88.3653519935,2,16
19,-46.8498569853,-67.4553714101,-75.3454942864,-89.4497025102,-88.3379914917,2,18
20,-66.7885833335,-60.25539255,-79.6563788513,-102.382622574,-86.8632960288,4,0
21,-65.6073811763,-60.019572498,-79.6597042715,-102.39728118,-86.6422870365,4,2
22,-64.2453382184,-60.0993223688,-79.6358733206,-102.378984385,-77.0911188601,4,4
23,-67.3566176784,-60.4366592782,-79.5767767563,-102.327191729,-74.2054006705,4,6
24,-60.2551841872,-59.5743933039,-74.8653624989,-98.8934917425,-73.6341020241,4,8
25,-53.6810219413,-61.4149319709,-76.5688713729,-91.7677075935,-79.5371997471,4,10
26,-51.3187234498,-63.0518919875,-71.797469622,-85.5183018227,-87.7727624614,4,12
27,-49.3349114624,-64.8582983057,-77.0947288931,-90.1828964052,-87.5478737387,4,14
28,-49.1177089487,-68.8095194969,-77.3717379253,-96.2327129589,-87.55164938,4,16
29,-50.7096543139,-69.7289102989,-80.9670073743,-90.6552600367,-87.5185417221,4,18
30,-74.1179311111,-51.8076862228,-72.9477527258,-96.3004553939,-73.8383341649,6,0
31,-73.0106613417,-50.8242089698,-72.945904931,-96.3126430207,-80.9745661263,6,2
32,-71.7857828206,-51.1559187844,-72.9569065379,-96.2974255521,-75.497610471,6,4
33,-67.2377428798,-52.5626530323,-72.9695215245,-96.2541880896,-73.1748148492,6,6
34,-57.0868323279,-58.4836889254,-75.3128098342,-98.2548019782,-72.6887965853,6,8
35,-55.633589861,-56.4235334808,-70.4528177897,-90.4473682178,-78.4257515651,6,10
36,-56.8035715367,-57.9994496544,-68.1849327321,-84.7856969628,-85.2913064766,6,12
37,-58.9407566196,-64.5444686687,-71.6141221145,-85.355282536,-81.1372057065,6,14
38,-58.8957210407,-65.8580011422,-75.5380326896,-88.3728868708,-81.1391164252,6,16
39,-59.2314574441,-71.8774055127,-76.3405724163,-90.0144100348,-81.1219821986,6,18
40,-74.4788309349,-47.638769491,-71.5560734434,-95.6908651389,-76.269444903,8,0
41,-70.381048415,-44.3670715889,-71.5535714584,-95.7048902309,-72.7591824964,8,2
42,-64.8937329124,-45.6738113279,-71.567659262,-95.6873773473,-79.8419600803,8,4
43,-59.8071296674,-49.3875834748,-71.5786230028,-95.6375167084,-69.988289992,8,6
44,-58.5036597141,-52.9228344285,-68.8838091462,-96.8356341677,-70.0224667029,8,8
45,-60.202630894,-60.2189705619,-69.4329758446,-90.0263303986,-71.8352174376,8,10
46,-64.3627950352,-62.2056897652,-67.0094540396,-81.553962504,-78.3922035022,8,12
47,-61.807956376,-64.2832964357,-74.2350308413,-89.8227143412,-80.1355505374,8,14
48,-61.7842341512,-65.6546612673,-79.1023488312,-84.2601730584,-80.1379639924,8,16
49,-61.972590626,-66.8408873732,-76.0052022244,-89.3758164126,-80.116120499,8,18
50,-67.4794114491,-45.1406099642,-69.8982865975,-95.0350785966,-80.226856412,10,0
51,-66.4333939332,-32.872711315,-69.8947328235,-95.0513903251,-75.0793888522,10,2
52,-61.7074319261,-40.6196250049,-69.9128500642,-95.0310192906,-71.5306521518,10,4
53,-64.0191723694,-47.8852956711,-69.9155970273,-99.4836797392,-73.5087192874,10,6
54,-62.6722273947,-57.3193372107,-67.6008327652,-90.3008170175,-68.6961731429,10,8
55,-66.7614871206,-60.0193148897,-65.3263594982,-83.7167274737,-70.5894944639,10,10
56,-65.4023798808,-62.0766174364,-69.1063670421,-80.4301107719,-76.9984005924,10,12
57,-63.9650954765,-69.2540634036,-77.6398446402,-87.1443934516,-79.0029870512,10,14
58,-63.9505422168,-70.6493435387,-74.7763116406,-88.7440918478,-79.0061335249,10,16
59,-64.069687298,-71.8512162518,-71.493785941,-86.380416928,-78.9772971836,10,18
60,-71.5243097283,-53.0012822817,-62.3627886217,-88.8159742619,-75.5255642643,12,0
61,-67.3559667692,-51.9597326662,-62.3370109284,-88.8280628457,-74.6422050838,12,2
62,-70.1487361948,-52.3720889089,-62.5009421313,-88.8129557401,-66.0966341803,12,4
63,-67.5480257177,-53.7055448045,-62.7844610563,-92.9526970768,-72.7561586533,12,6
64,-63.6921676166,-60.4894126294,-63.2375453253,-88.8931036104,-69.5115319272,12,8
65,-68.2909959682,-62.6882288899,-67.1753115016,-82.8040422438,-69.2502345364,12,10
66,-68.5277694604,-64.6506485999,-64.3748954465,-80.8940396045,-75.175345535,12,12
67,-71.1970032145,-69.2770857551,-65.9338431886,-77.6839928559,-72.1939718076,12,14
68,-71.1948063456,-70.6686551546,-67.0498891944,-82.9113347077,-72.1922002251,12,16
69,-71.2099696536,-71.8672073222,-72.4979331734,-78.1194261763,-72.2050396872,12,18
70,-68.7339683353,-57.8146228603,-59.7019771104,-88.0442872146,-75.1563295624,14,0
71,-71.5859758252,-57.4211379049,-59.655124978,-88.0587380441,-74.2229407522,14,2
72,-69.1888096643,-57.5607869927,-59.9385992661,-88.0406751938,-73.1845922891,14,4
73,-65.4934761543,-58.0919628922,-60.3818815449,-91.844968571,-64.4619787536,14,6
74,-69.8876304315,-62.6656263735,-64.6894574374,-88.0412749728,-68.3171216978,14,8
75,-69.7012482679,-64.1396646221,-62.4096943866,-79.2628927341,-65.8632247173,14,10
76,-75.7450795384,-65.4666678572,-63.9215672305,-79.9168489098,-67.9069659443,14,12
77,-72.6427881056,-67.1293303851,-70.1365244465,-82.1044480242,-70.6644236931,14,14
78,-72.6411820908,-68.2950759199,-71.4315379269,-79.8391875322,-70.661962892,14,16
79,-72.6530371964,-74.2085404082,-72.5513138061,-84.805982698,-70.6784118003,14,18
80,-80.4327170788,-66.288972159,-50.5049058229,-81.6907219926,-67.3973119503,16,0
81,-75.2296311991,-66.2649247579,-50.3008967629,-81.6979708404,-66.3330811371,16,2
82,-74.4540260524,-66.277817921,-51.5333031817,-81.6888853555,-68.8449327982,16,4
83,-73.7652148938,-66.2786722139,-53.3811726599,-85.1958633857,-67.1703573962,16,6
84,-70.9876050952,-61.6218775065,-59.8927594686,-81.4434247992,-62.348687163,16,8
85,-69.9072126162,-62.2005666894,-61.8906361741,-79.3811372578,-66.230178754,16,10
86,-77.6504585845,-66.7509260038,-63.5314539982,-73.71298235,-65.8722489882,16,12
87,-79.3914773832,-75.4398481774,-70.1894656681,-76.2573836159,-63.3135878203,16,14
88,-79.394349972,-76.2660446704,-71.4566665627,-74.1193112793,-63.2967133371,16,16
89,-79.3681450825,-72.5075864782,-67.638009014,-82.0480889782,-63.4337660624,16,18
90,-76.3989994978,-68.6939906705,-44.3327570363,-80.7538406533,-71.6781835504,18,0
91,-75.7092278985,-68.6737744362,-43.4172179906,-80.7628735479,-70.4148797531,18,2
92,-72.6322471571,-68.6820932923,-47.5687612834,-80.7515390546,-64.7806407746,18,4
93,-74.564641952,-68.6988748472,-51.2260985019,-83.9393042776,-67.1534573497,18,6
94,-72.0246053353,-66.2290131834,-59.3071809979,-80.2332432751,-61.4357858501,18,8
95,-72.2261242172,-64.0811762312,-56.5238097118,-78.1691660023,-59.7460341976,18,10
96,-78.8696434486,-64.5200013701,-58.2435453973,-72.7749256148,-61.631849187,18,12
97,-80.4774223345,-72.8165163295,-65.1585134192,-73.1021606173,-60.9653815406,18,14
98,-80.4796494748,-73.9000033212,-66.4109057905,-81.0264884466,-60.9367067195,18,16
99,-80.4595493649,-77.9555941152,-62.4706221782,-78.5122770463,-61.1608509849,18,18
100,-76.8102078229,-70.5730413912,-40.0334074368,-79.7032498643,-69.2626084458,20,0
101,-73.6909771997,-70.5576940103,-36.9219607567,-79.7148209775,-72.8939509378,20,2
102,-75.7111699571,-70.5633796691,-46.0303236388,-79.7002785789,-69.0416686034,20,4
103,-73.5136257733,-70.580739387,-50.628764736,-82.5840333417,-67.2862158504,20,6
104,-71.6815023953,-72.9496678551,-59.1425379772,-76.1748114131,-60.6778078713,20,8
105,-73.3667017777,-68.3294332931,-61.3891878002,-71.726033679,-58.480573202,20,10
106,-85.7359867435,-65.9965939463,-63.1736992314,-71.8433291023,-60.9480024999,20,12
107,-81.44245802,-66.5425583064,-70.1656223727,-77.1493359048,-57.7510727447,20,14
108,-81.4442364926,-74.3289186321,-66.3735939564,-77.4372217449,-57.6925717026,20,16
109,-81.428318412,-75.2508577087,-67.4773764091,-84.2279674702,-58.1140009313,20,18
110,-79.5649264357,-77.585664359,-53.0936950973,-73.0122968344,-66.7336166935,22,0
111,-81.8160881062,-77.6196190308,-52.9017772366,-73.0061486833,-65.5378391945,22,2
112,-81.5610603383,-77.6095614261,-53.8651990031,-73.0136700934,-64.1553362444,22,4
113,-76.1992216838,-77.5496692873,-55.2937475541,-75.6958508268,-62.5178711014,22,6
114,-72.8607068789,-74.4638848354,-62.0811280414,-75.9847082203,-60.0715137915,22,8
115,-79.8872766004,-74.5884381782,-61.6688341887,-70.5579098447,-57.5081141632,22,10
116,-87.0267823232,-70.030263863,-63.3680170551,-68.2738048464,-53.9901853014,22,12
117,-87.8238377768,-75.2987463734,-70.187600926,-74.5383164179,-47.4439081417,22,14
118,-87.8273808882,-72.307249404,-71.4502847534,-78.692772287,-47.1034513896,22,16
119,-87.7963460303,-79.5890562977,-72.5519905916,-76.1090906712,-49.4182419894,22,18
120,-80.2741038952,-78.9085058184,-57.9932234394,-71.6322513221,-61.5805762607,24,0
121,-82.4425596374,-78.9330775763,-57.9248731275,-71.624048382,-60.3573159351,24,2
122,-80.4080274648,-78.9257094308,-58.3205800682,-75.6521193795,-58.9334223882,24,4
123,-77.0155445924,-78.8830838299,-58.9065685797,-74.1088645008,-57.2301057618,24,6
124,-74.8171172976,-75.8361305876,-63.8398232258,-69.1467621135,-54.6555800612,24,8
125,-80.9124398556,-75.8021676047,-65.1652538201,-66.8598663573,-51.850821631,24,10
126,-89.7250328118,-70.9784607688,-66.3833137209,-70.0084993526,-47.7035625164,24,12
127,-88.613812064,-71.5484039456,-72.6297665134,-77.3621067606,-39.3268370397,24,14
128,-88.6167645124,-76.6314279384,-71.4516012851,-74.8967399341,-36.4133008056,24,16
129,-88.590967172,-73.6140267816,-72.5609150867,-75.763989354,-46.076115659,24,18
130,-83.2631163182,-80.0550954276,-61.1327458116,-69.9910099188,-66.6837144848,26,0
131,-83.0634796921,-80.0737223153,-61.0987297428,-69.979632822,-70.4867474791,26,2
132,-83.0014775646,-80.068088222,-61.3107119882,-73.3850763053,-69.0641592435,26,4
133,-76.5718808772,-80.0361775558,-61.66078593,-70.7384451947,-67.3616812245,26,6
134,-75.6588828022,-77.0973902523,-62.2377783826,-67.5998697179,-59.8884151929,26,8
135,-82.232765657,-76.9154399424,-66.5399053286,-68.2610866333,-57.2139398812,26,10
136,-89.3638020423,-77.0049098428,-67.5093880114,-72.3544467478,-53.4079598064,26,12
137,-89.3378189626,-72.3551887198,-73.0952334341,-73.4878263132,-44.739742978,26,14
138,-89.3403161403,-72.7780543876,-69.6702133766,-74.4989801431,-44.0820281691,26,16
139,-89.318529706,-77.7866133541,-70.4961203211,-71.3183251349,-47.9052345844,26,18
140,-88.9574192278,-86.5624664048,-68.9334691047,-62.5190624381,-71.7254061642,28,0
141,-87.0340662793,-86.5975323267,-68.9291381478,-62.4330255265,-70.4996420453,28,2
142,-83.7068163275,-86.5867173402,-68.9494419795,-65.3595922932,-69.0655398394,28,4
143,-77.564144109,-86.5285090629,-68.9422951608,-63.0854384184,-67.3330179591,28,6
144,-76.4631526809,-83.68269301,-66.9239126606,-66.0780505802,-60.4328554163,28,8
145,-82.8021936926,-76.4413936436,-64.551711625,-70.4046246976,-58.077752211,28,10
146,-95.9303699015,-77.946292203,-64.9977553444,-63.9892563064,-59.8475705964,28,12
147,-95.5204744118,-80.587567916,-73.5766869468,-65.5656186311,-56.1518851932,28,14
148,-95.5238794278,-80.9938066946,-77.8345867756,-66.7231519889,-56.0692317811,28,16
149,-95.4942926553,-78.5685647114,-78.4581285705,-72.1478200663,-56.6348055651,28,18
150,-89.5446320751,-87.472458929,-70.7666400577,-59.9321050836,-71.701588778,30,0
151,-89.5653834504,-87.5008371117,-70.7636787662,-59.7789537714,-70.4499693093,30,2
152,-81.6622482508,-87.4920654488,-70.7796735343,-61.0592401607,-68.9760459742,30,4
153,-78.538151786,-87.4451305323,-70.787839923,-60.4597385641,-63.1531901773,30,6
154,-82.6804652172,-84.3742982623,-73.2950545057,-67.8870501226,-65.0695261033,30,8
155,-83.6781751334,-78.9172603724,-68.900192097,-61.9107074782,-63.8143541722,30,10
156,-99.0024574871,-78.8265800532,-66.3771368362,-63.4886466345,-60.444700716,30,12
157,-96.1411959316,-81.3081743974,-66.9631508612,-69.6748295588,-59.8852617061,30,14
158,-96.1441454881,-81.6176628236,-74.9728536076,-71.0392262603,-59.8487474451,30,16
159,-96.1185243037,-82.0012540676,-75.8298461634,-69.5333908334,-60.1275335263,30,18
160,-93.4662718444,-93.7978283936,-77.7851437518,-51.0775215202,-74.6020377876,32,0
161,-90.1964497024,-93.8350040315,-77.7903088186,-50.4225932984,-73.9733291934,32,2
162,-89.2456114137,-93.8234668695,-77.7524566221,-51.432951747,-72.4988340115,32,4
163,-85.5952196309,-93.7624053119,-77.6542814101,-56.5267969556,-67.4614976286,32,6
164,-83.4282591212,-85.8405513732,-72.5953483584,-59.1973673076,-66.5282305042,32,8
165,-89.9993399751,-79.8295769826,-74.9056946771,-61.3274659604,-65.600222934,32,10
166,-97.8959827377,-78.0604408116,-70.5113399228,-63.0609892149,-65.0396511063,32,12
167,-102.235425889,-87.5955269605,-79.0157627357,-69.743484782,-67.9880378264,32,14
168,-102.238966818,-87.3288521622,-72.5177345826,-71.0748040934,-67.9837839037,32,16
169,-102.208265545,-84.9772626362,-80.0171800345,-72.2255761864,-68.0055817901,32,18
170,-95.9530063823,-94.5514956727,-79.0763662122,-45.9872192216,-79.3257236494,34,0
171,-93.1830126061,-94.5827421774,-79.0801755629,-43.3753034037,-78.08974188,34,2
172,-84.7086949182,-94.573035617,-79.0526999064,-50.393685833,-69.3357649539,34,4
173,-78.1219217253,-94.5217924892,-78.9836367366,-55.3084540684,-68.5932121998,34,6
174,-84.1459289557,-92.2833588329,-75.9231580142,-58.5121785538,-67.8454043693,34,8
175,-90.8027792402,-86.1024515702,-76.0396742507,-60.87111126,-65.1399937702,34,10
176,-104.310811864,-79.0439580854,-76.2693799676,-62.7349486386,-70.0275887687,34,12
177,-102.778619903,-90.3189955356,-71.9773956426,-64.7287092063,-70.0091097927,34,14
178,-102.781745668,-88.0074765036,-80.2931750664,-66.0386400448,-70.0062848599,34,16
179,-102.754664861,-88.1352811491,-73.7945579692,-67.1782504084,-70.0243050237,34,18
180,-91.2309313813,-95.2445305784,-80.2000312577,-42.8769407518,-75.6471254952,36,0
181,-89.8888723265,-95.271166573,-80.2029597767,-31.6286916135,-74.4831732986,36,2
182,-86.41635884,-95.2628859238,-80.182085197,-49.1697121344,-70.2604272544,36,4
183,-84.1817037548,-95.2192618266,-80.1309536569,-54.8578137863,-69.6371964873,36,6
184,-85.2197124489,-93.2227603554,-80.0395624597,-58.2802526767,-69.0696733747,36,8
185,-91.5723749025,-86.9401144695,-75.0320626289,-60.7320158309,-67.0106787982,36,10
186,-105.17742169,-81.1902198074,-77.2351536906,-62.6429295185,-71.6632750541,36,12
187,-103.28979698,-81.7687841674,-75.415343127,-69.7218680218,-71.6477988778,36,14
188,-103.29257352,-89.037537417,-76.127126938,-71.0492266584,-71.6458045552,36,16
189,-103.268510228,-88.7391100817,-81.4065855073,-72.2004006447,-71.6598975758,36,18
190,-99.4510084077,-101.393783699,-86.7062412991,-53.0942997979,-79.9826201832,38,0
191,-98.6652692256,-101.425268572,-86.7118919592,-52.4449131172,-76.1546190227,38,2
192,-92.4778456103,-101.415467881,-86.6726741826,-56.2590152921,-75.8798227317,38,4
193,-87.4869886728,-101.364021381,-86.5836552362,-59.040865297,-70.7647342931,38,6
194,-86.0490202988,-94.6744622743,-81.0718947022,-61.7722065982,-68.1760978483,38,8
195,-93.7778096055,-87.3765703606,-78.0400411195,-68.5406515604,-70.095745625,38,10
196,-106.00453645,-87.2935344582,-78.1258735218,-70.4934367712,-73.0385683002,38,12
197,-109.287997168,-81.1736225984,-78.4053632264,-64.808840066,-78.5338960382,38,14
198,-109.291155555,-96.8982608967,-81.3494923737,-66.0997717602,-78.5374105468,38,16
199,-109.263810839,-94.4961620633,-81.8001305361,-67.2262571021,-78.5050205109,38,18
