,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,ap38,ap39,ap40,ap41,ap42,ap43,ap44,ap45,ap46,ap47,ap48,ap49,ap50,ap51,ap52,result_x,result_y
0,0,0,-63,0,0,0,-94,-96,0,0,0,0,0,-91,-94,0,-70,0,0,-84,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,0,-92,-67,0,0,-87,-84,0,0,0,0,0,0,20.667486799909522,-103.46449747681618
1,0,0,-65,0,0,0,-91,-96,0,0,0,0,0,-93,-96,0,-65,0,0,-87,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,-94,0,0,0,0,-90,-64,0,0,-85,-75,0,0,0,0,0,0,20.667486799909522,-103.46449747681618
2,0,0,-65,0,0,0,-91,-96,0,0,0,0,0,-93,-96,0,-65,0,0,-87,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,-94,0,0,0,0,-90,-64,0,0,-85,-75,0,0,0,0,0,0,20.667486799909522,-103.46449747681618
3,0,0,-65,0,-97,0,-94,0,0,0,0,0,0,-93,-90,0,-71,0,0,-85,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,-61,0,0,-84,-76,0,0,0,-96,0,0,20.667486799909522,-103.46449747681618
4,0,0,-65,0,-97,0,-94,0,-93,0,0,0,0,-93,-90,0,-70,0,0,-90,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,0,-97,0,-97,-64,0,0,-74,-74,0,0,0,-96,0,0,20.667486799909522,-103.46449747681618
5,0,0,-65,0,-97,0,-94,0,-93,0,0,0,0,-93,-90,0,-70,0,0,-90,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,0,-97,0,-97,-64,0,0,-74,-74,0,0,0,-96,0,0,20.667486799909522,-103.46449747681618
6,0,0,-67,0,0,0,-93,-95,0,0,0,0,0,0,-95,0,-70,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,0,0,-91,-63,0,0,-81,-67,0,0,0,0,0,0,20.667486799909522,-103.46449747681618
7,0,0,-67,0,0,0,-91,-95,0,0,0,0,0,-94,-95,0,-66,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,0,0,-92,-66,0,0,-84,-71,0,0,0,0,0,0,20.667486799909522,-103.46449747681618
8,0,0,-67,0,0,0,-91,-95,0,0,0,0,0,-94,-95,0,-66,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,0,0,-92,-66,0,0,-84,-71,0,0,0,0,0,0,20.667486799909522,-103.46449747681618
9,0,0,-63,0,0,0,0,-93,0,0,0,-93,0,0,0,0,-67,0,0,-83,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,0,0,0,-66,0,0,-88,-70,0,0,0,0,0,0,20.667486799909522,-103.46449747681618
10,0,0,-64,0,-97,0,0,0,0,0,0,0,0,0,0,-91,-71,-93,0,-88,0,-66,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,-96,0,0,0,0,-97,-57,0,0,-84,-78,0,0,0,0,0,0,20.667507190359533,-103.4645015001297
11,0,0,-64,0,-97,0,0,0,0,0,0,0,0,0,0,-91,-71,-93,0,-88,0,-66,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,-96,0,0,0,0,-97,-57,0,0,-84,-78,0,0,0,0,0,0,20.667507190359533,-103.4645015001297
12,-98,0,-65,0,-99,0,-94,0,0,0,0,0,0,0,0,-92,-74,-92,0,-86,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,-97,-55,0,0,-89,-80,0,0,0,0,0,0,20.667507190359533,-103.4645015001297
13,-94,0,-62,0,-99,0,-94,0,0,0,0,0,0,0,0,-92,-74,-96,0,-84,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,-97,-56,0,0,-83,-73,0,0,0,0,0,0,20.667507190359533,-103.4645015001297
14,-94,0,-62,0,-99,0,-94,0,0,0,0,0,0,0,0,-92,-74,-96,0,-84,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,-97,-56,0,0,-83,-73,0,0,0,0,0,0,20.667507190359533,-103.4645015001297
15,0,0,-62,0,0,0,0,0,0,0,0,0,0,-93,0,0,-75,0,0,-85,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,-96,0,-93,0,0,0,0,0,-56,0,0,-82,-71,0,0,0,-96,0,0,20.667507190359533,-103.4645015001297
16,0,0,-61,0,0,0,0,0,0,0,0,0,0,-93,0,0,-74,-94,0,-87,-84,0,0,0,0,0,0,0,0,-90,0,0,0,0,-89,0,-97,0,0,0,0,0,-55,0,0,-77,-71,0,0,0,-96,0,0,20.667507190359533,-103.4645015001297
17,0,0,-61,0,0,0,0,0,0,0,0,0,0,-93,0,0,-74,-94,0,-87,-84,0,0,0,0,0,0,0,0,-90,0,0,0,0,-89,0,-97,0,0,0,0,0,-55,0,0,-77,-71,0,0,0,-96,0,0,20.667507190359533,-103.4645015001297
18,0,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-99,0,0,0,0,0,-80,0,0,0,0,0,-87,0,0,0,0,-94,0,0,0,0,0,0,0,-57,0,0,-88,-74,0,0,0,-95,0,0,20.667507190359533,-103.4645015001297
19,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,-99,0,-86,-85,0,0,-83,0,0,0,0,0,-89,0,0,0,0,-92,0,0,0,0,0,0,0,-55,0,0,-80,-75,0,0,0,-95,0,0,20.667507190359533,-103.4645015001297
20,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,-94,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,-52,0,0,-79,-76,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
21,0,0,-62,0,0,0,-96,0,0,0,0,0,0,0,-96,-94,-69,0,0,0,0,-73,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,-79,-73,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
22,0,0,-62,0,0,0,-96,0,0,0,0,0,0,0,-96,-94,-69,0,0,0,0,-73,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,-79,-73,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
23,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,-93,-69,0,0,-93,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,-95,0,0,0,0,0,-51,0,0,-78,-74,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
24,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,-88,0,-69,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,-52,0,0,-82,-77,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
25,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,-88,0,-69,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,-52,0,0,-82,-77,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
26,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,-94,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-97,0,0,0,0,0,-51,0,0,-81,-78,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
27,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,-95,-95,-67,0,0,-90,0,-74,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,-97,0,0,0,0,0,-51,0,0,-80,-76,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
28,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,-95,-95,-67,0,0,-90,0,-74,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,-97,0,0,0,0,0,-51,0,0,-80,-76,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
29,0,0,-65,0,0,0,-96,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,-97,0,0,0,0,0,-52,0,0,-77,-77,0,0,0,0,0,0,20.667512209546807,-103.46447434276342
30,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,-77,0,0,0,0,0,0,0,-97,0,0,0,0,0,0,0,0,-95,0,0,0,-59,0,0,-85,-64,0,0,0,0,0,0,20.667489309503523,-103.46444718539715
31,0,0,-76,0,-97,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,-99,0,-87,-66,-97,0,0,0,0,0,20.667489309503523,-103.46444718539715
32,0,0,-76,0,-97,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,-99,0,-87,-66,-97,0,0,0,0,0,20.667489309503523,-103.46444718539715
33,0,0,-77,0,-96,0,0,0,0,-97,0,0,0,0,-94,0,-69,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,0,0,0,-57,0,0,0,-67,0,0,0,0,0,0,20.667489309503523,-103.46444718539715
34,0,0,-81,0,-96,0,0,0,0,-97,0,0,0,0,-94,0,-68,0,0,-90,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,0,0,-96,-56,0,0,-86,-67,0,0,0,0,0,0,20.667489309503523,-103.46444718539715
35,0,0,-81,0,-96,0,0,0,0,-97,0,0,0,0,-94,0,-68,0,0,-90,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,0,0,-96,-56,0,0,-86,-67,0,0,0,0,0,0,20.667489309503523,-103.46444718539715
36,0,0,-78,0,0,0,0,0,0,-95,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,0,-85,-67,0,0,0,0,0,0,20.667489309503523,-103.46444718539715
37,0,0,-73,0,0,0,0,0,0,-95,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,0,0,-57,0,0,-88,-67,-94,0,0,0,0,0,20.667489309503523,-103.46444718539715
38,0,0,-73,0,0,0,0,0,0,-95,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,0,0,-57,0,0,-88,-67,-94,0,0,0,0,0,20.667489309503523,-103.46444718539715
39,0,0,-64,0,-87,0,-87,0,-91,0,0,0,0,0,0,0,-56,0,0,-89,0,-82,0,0,0,0,-97,0,0,-83,0,0,0,0,-90,0,0,0,0,0,0,-91,-45,-93,0,-70,-59,-90,0,0,0,0,0,20.667489309503523,-103.46444718539715
40,0,0,-64,0,-87,0,-87,0,-91,0,0,0,0,0,0,0,-56,0,0,-89,0,-82,0,0,0,0,-97,0,0,-83,0,0,0,0,-90,0,0,0,0,0,0,-91,-45,-93,0,-70,-59,-90,0,0,0,0,0,20.667504053367406,-103.4644377976656
41,0,0,-64,0,-87,0,0,0,0,0,0,0,0,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,-90,0,0,0,0,0,0,0,-45,-93,0,0,-59,-90,0,0,0,0,0,20.667504053367406,-103.4644377976656
42,0,0,-64,0,-87,0,0,0,0,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,-90,0,0,0,0,0,0,0,-45,-93,0,0,-59,-90,0,0,0,0,0,20.667504053367406,-103.4644377976656
43,0,0,-60,0,-87,0,-88,0,-91,0,0,0,0,0,0,0,-57,0,0,0,0,-92,0,0,-85,0,0,0,0,-83,0,0,0,0,-90,0,0,0,0,0,0,0,-46,-93,0,-80,-59,-90,0,0,0,0,0,20.667504053367406,-103.4644377976656
44,0,0,-60,0,0,0,-88,0,-91,0,0,0,0,0,0,0,-57,0,0,0,0,-92,0,0,-85,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,-46,-93,0,-80,-59,-90,0,0,0,0,0,20.667504053367406,-103.4644377976656
45,0,0,-60,0,0,0,-88,0,-91,0,0,0,0,0,0,0,-57,0,0,0,0,-92,0,0,-85,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,-46,-93,0,-80,-59,-90,0,0,0,0,0,20.667504053367406,-103.4644377976656
46,0,0,-63,0,-91,0,-88,0,-91,0,0,0,0,0,0,0,-57,0,0,0,0,-92,0,0,-85,0,0,0,0,-87,0,0,0,0,-90,0,0,0,0,0,0,0,-48,-93,0,-81,-61,-90,0,0,0,0,0,20.667504053367406,-103.4644377976656
47,0,0,-63,0,-91,0,-88,0,-91,0,0,0,0,0,0,0,-57,0,0,0,0,-92,0,0,-85,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,-48,0,0,-81,-61,0,0,0,0,0,0,20.667504053367406,-103.4644377976656
48,0,0,-63,0,-91,0,-88,0,-91,0,0,0,0,0,0,0,-58,0,0,0,0,-92,0,0,-85,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,-48,0,0,-81,-61,0,0,0,0,0,0,20.667504053367406,-103.4644377976656
49,0,0,-63,0,-91,0,-88,0,-91,0,0,0,0,0,0,0,-57,0,0,0,0,-92,0,0,-85,-85,0,0,0,-88,0,0,0,0,-90,0,0,0,0,0,0,0,-48,0,0,-81,-60,0,0,0,0,0,0,20.667504053367406,-103.4644377976656
50,0,0,-63,0,-91,0,0,0,0,0,0,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,-85,0,0,0,-88,0,0,0,0,-90,0,0,0,0,0,0,0,-48,0,0,-81,-60,0,0,0,0,0,0,20.667504053367406,-103.4644377976656
51,0,0,-77,0,0,0,-85,0,0,0,0,0,0,0,0,0,-46,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,-86,0,-59,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
52,0,0,-77,0,0,0,-85,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,-86,0,-59,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
53,0,0,-76,0,0,0,-87,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-86,-84,-55,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
54,0,0,-76,0,0,0,-87,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-86,-84,-55,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
55,0,0,-76,0,0,0,-87,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-86,-84,-55,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
56,0,0,-76,0,0,0,-87,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,-86,-84,-54,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
57,0,0,-76,0,0,0,-87,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,-84,-54,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
58,0,0,-76,0,0,0,-87,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,-84,-54,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
59,0,0,-76,0,0,0,-87,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,-84,-53,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
60,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,-53,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
61,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,-53,0,0,0,0,0,0,20.667520993124143,-103.46432916820049
62,0,0,-78,0,0,0,0,-91,0,-91,0,0,0,0,0,0,-42,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-89,0,-56,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
63,0,0,-78,0,0,0,0,-91,0,0,0,0,0,0,0,0,-42,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-89,0,-56,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
64,0,0,-78,0,0,0,0,-91,0,0,0,0,0,0,0,0,-44,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,-89,0,-56,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
65,0,0,-74,0,0,0,-83,-91,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,-89,-75,-55,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
66,0,0,-74,0,0,0,-83,-91,0,0,0,0,0,0,0,0,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,-89,-75,-55,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
67,0,0,-74,0,0,0,-83,-91,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,-89,-75,-55,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
68,0,0,-73,0,0,0,-84,-91,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-53,0,-89,-74,-55,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
69,0,0,-73,0,0,0,-84,0,0,0,0,0,0,0,0,0,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-53,0,0,-74,-55,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
70,0,0,-73,0,0,0,-84,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-53,0,0,-74,-55,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
71,0,0,-71,0,0,0,-81,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-56,0,-86,-71,-55,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
72,0,0,-71,0,0,0,-81,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-56,0,-86,-71,-55,0,0,0,0,0,0,20.66754922604784,-103.46433855593204
73,0,0,-70,0,0,0,-85,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,0,0,-72,-53,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
74,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,0,0,-72,-53,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
75,0,-92,-74,0,0,0,-78,-92,0,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,0,0,-75,-53,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
76,0,-92,-74,0,0,0,-78,-92,0,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,0,0,-75,-53,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
77,0,-92,-74,0,0,0,-78,-92,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,0,0,-75,-53,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
78,0,-92,-70,0,0,0,-78,-92,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,-77,-57,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
79,0,-92,-70,0,0,0,-78,-92,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,-77,-57,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
80,0,-92,-70,0,0,0,-78,-92,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,-77,-57,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
81,0,-92,-72,0,0,0,-77,-92,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,-91,-75,-57,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
82,0,0,-72,0,0,0,-77,0,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,-91,-75,-57,0,0,0,0,0,0,20.667549539746965,-103.4643630310893
